flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,484,MEX,251,FRA,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,N/A,,56657.0
M,484,MEX,251,FRA,54,Man-made filaments; strip and the like of man-made textile materials,N/A,,1214237.0
M,484,MEX,251,FRA,55,Man-made staple fibres,N/A,,1737038.0
M,484,MEX,251,FRA,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,,1745548.0
M,484,MEX,251,FRA,57,Carpets and other textile floor coverings,N/A,,752829.0
M,484,MEX,251,FRA,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,560374.0
M,484,MEX,251,FRA,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,,2948635.0
M,484,MEX,251,FRA,60,Fabrics; knitted or crocheted,N/A,,815465.0
M,484,MEX,251,FRA,61,Apparel and clothing accessories; knitted or crocheted,N/A,,2293790.0
M,484,MEX,251,FRA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,,4532831.0
M,484,MEX,251,FRA,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,,669965.0
M,484,MEX,251,FRA,64,Footwear; gaiters and the like; parts of such articles,N/A,,857533.0
M,484,MEX,251,FRA,65,Headgear and parts thereof,N/A,,266418.0
M,484,MEX,251,FRA,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,,18475.0
M,484,MEX,251,FRA,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",N/A,,8759.0
M,484,MEX,251,FRA,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,,1962353.0
M,484,MEX,251,FRA,69,Ceramic products,N/A,,3602008.0
M,484,MEX,251,FRA,70,Glass and glassware,N/A,,20012756.0
M,484,MEX,251,FRA,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,5315836.0
M,484,MEX,251,FRA,72,Iron and steel,N/A,,37606784.0
M,484,MEX,251,FRA,74,Copper and articles thereof,N/A,,9114633.0
M,484,MEX,251,FRA,75,Nickel and articles thereof,N/A,,787238.0
M,484,MEX,251,FRA,76,Aluminium and articles thereof,N/A,,15018012.0
M,484,MEX,251,FRA,78,Lead and articles thereof,N/A,,6297.0
M,484,MEX,251,FRA,79,Zinc and articles thereof,N/A,,30152.0
M,484,MEX,251,FRA,80,Tin; articles thereof,N/A,,210131.0
M,484,MEX,251,FRA,81,"Metals; n.e.c., cermets and articles thereof",N/A,,764696.0
M,484,MEX,251,FRA,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,11225483.0
M,484,MEX,251,FRA,83,Metal; miscellaneous products of base metal,N/A,,5651762.0
M,484,MEX,251,FRA,88,"Aircraft, spacecraft and parts thereof",N/A,,59668466.0
M,484,MEX,251,FRA,89,"Ships, boats and floating structures",N/A,,374543.0
M,484,MEX,251,FRA,91,Clocks and watches and parts thereof,N/A,,755662.0
M,484,MEX,251,FRA,92,Musical instruments; parts and accessories of such articles,N/A,,234109.0
M,484,MEX,251,FRA,93,Arms and ammunition; parts and accessories thereof,N/A,,1416807.0
M,484,MEX,251,FRA,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,,32528932.0
M,484,MEX,251,FRA,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,,1864776.0
M,484,MEX,251,FRA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",N/A,,1861412.0
M,484,MEX,251,FRA,97,Works of art; collectors' pieces and antiques,N/A,,695301.0
M,484,MEX,251,FRA,96,Miscellaneous manufactured articles,N/A,,27252196.0
M,484,MEX,251,FRA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,89736977.0
M,484,MEX,276,DEU,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,2815412.0
M,484,MEX,276,DEU,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,3705613.0
M,484,MEX,276,DEU,26,"Ores, slag and ash",N/A,,822830.0
M,484,MEX,276,DEU,01,Animals; live,N/A,,424351.0
M,484,MEX,276,DEU,05,Animal originated products; not elsewhere specified or included,N/A,,134647.0
M,484,MEX,276,DEU,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,318316.0
M,484,MEX,276,DEU,07,Vegetables and certain roots and tubers; edible,N/A,,8909.0
M,484,MEX,276,DEU,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,1294185.0
M,484,MEX,276,DEU,09,"Coffee, tea, mate and spices",N/A,,78001.0
M,484,MEX,276,DEU,10,Cereals,N/A,,504.0
M,484,MEX,276,DEU,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,10420262.0
M,484,MEX,276,DEU,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,533058.0
M,484,MEX,276,DEU,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,4804196.0
M,484,MEX,276,DEU,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,N/A,,6441.0
